"sobject","name","count","total","usage"
"Lead","Id",25,25,100
"Lead","MasterRecordId",0,25,0
"Lead","LastName",25,25,100
"Lead","FirstName",24,25,96
"Lead","Salutation",23,25,92
"Lead","Name",25,25,100
"Lead","Title",22,25,88
"Lead","Company",25,25,100
"Lead","Street",3,25,12
"Lead","City",3,25,12
"Lead","State",20,25,80
"Lead","PostalCode",3,25,12
"Lead","Country",23,25,92
"Lead","Latitude",0,25,0
"Lead","Longitude",0,25,0
"Lead","GeocodeAccuracy",0,25,0
"Lead","Phone",23,25,92
"Lead","MobilePhone",0,25,0
"Lead","Fax",2,25,8
"Lead","Email",23,25,92
"Lead","Website",0,25,0
"Lead","PhotoUrl",25,25,100
"Lead","LeadSource",22,25,88
"Lead","Status",25,25,100
"Lead","Industry",2,25,8
"Lead","Rating",2,25,8
"Lead","CurrencyIsoCode",25,25,100
"Lead","AnnualRevenue",2,25,8
"Lead","NumberOfEmployees",1,25,4
"Lead","OwnerId",25,25,100
"Lead","ConvertedDate",0,25,0
"Lead","ConvertedAccountId",0,25,0
"Lead","ConvertedContactId",0,25,0
"Lead","ConvertedOpportunityId",0,25,0
"Lead","CreatedDate",25,25,100
"Lead","CreatedById",25,25,100
"Lead","LastModifiedDate",25,25,100
"Lead","LastModifiedById",25,25,100
"Lead","SystemModstamp",25,25,100
"Lead","LastActivityDate",0,25,0
"Lead","LastViewedDate",1,25,4
"Lead","LastReferencedDate",1,25,4
"Lead","Jigsaw",0,25,0
"Lead","JigsawContactId",0,25,0
"Lead","CleanStatus",25,25,100
"Lead","CompanyDunsNumber",0,25,0
"Lead","DandbCompanyId",0,25,0
"Lead","EmailBouncedReason",0,25,0
"Lead","EmailBouncedDate",0,25,0
"Lead","IndividualId",0,25,0
"Lead","SICCode__c",22,25,88
"Lead","ProductInterest__c",22,25,88
"Lead","Primary__c",22,25,88
"Lead","CurrentGenerators__c",22,25,88
"Lead","NumberofLocations__c",22,25,88
